"default_code","name","product_id","pvp","precio_lista"
"INDVAR924","VARSOL TB 200LTS (156,2KG)",162,464,464
112836,"ESSO NUTO 32 TB. 208,2 LTS",64,"1721,3",1156
112880,"ESSO NUTO H 100 TB.208,2 LTS.",74,2081,"526,44"
112878,"ESSO NUTO H 150 TB 208 LTS",76,2065,895
119109,"MOBIL 1 5W-50 CAJA 6LTS",12,327,"155,36"
120395,"MOBIL 1 SYN GREASE 10X0.397KG.",58,383,"189,51"
111854,"MOBIL AERO HFA PAILA  18,93  LTS",134,646,"175,38"
"97DOO5","MOBIL AVIATION GREASE SHC 100 PAILAS 16 KG",156,1534,"909,98"
113005,"MOBIL DELVAC 1 5W40 TB 208,2 LTS",55,11018,"4928,56"
112933,"MOBIL DELVAC 1340 TB 208,2LTS",24,2642,"1173,99"
112939,"MOBIL DELVAC 1350 PAILA 18,93 LTS",25,246,"82,28"
120178,"MOBIL DELVAC SYN GO 75W90 PAILA 17,2KG",56,1404,860
120177,"MOBIL DELVAC SYNTHETIC GO 75W90 55GAL",57,11976,7785
113070,"MOBIL DTE 24 TB 208,2 LTS",66,1934,"1153,12"
113098,"MOBIL DTE 26 TB 208,2 LTS",73,2016,"1199,24"
113093,"MOBIL DTE OIL HEAVY TB208,2 LTS",86,2154,"1030,8"
112900,"MOBIL DTE OIL LIGTH TB 208,2 LTS",79,1916,"999,65"
113019,"MOBIL DTE OIL MEDIUM TB 208,2 LTS",81,1988,"1030,8"
113056,"MOBIL GLYGOYLE 30 TB 208,2LTS",109,18250,"6227,87"
120250,"MOBIL GLYGOYLE GREASE 00 PAILA 18KG",153,1653,996
113479,"MOBIL GLYGOYLE GREASE 00 TAMB 180KG",154,18180,"4079,04"
112617,"MOBIL PEGASUS 805 TB 208,2 LTS",128,2351,"1653,79"
113000,"MOBIL RARUS 827 TB 208,2 LTS",124,15945,"6783,96"
113108,"MOBIL RARUS SHC 1024 TB 208,2LTS",122,14302,"3924,36"
111538,"MOBIL SHC 626 PAILA 18,93 LTS",103,1631,1350
103817,"MOBIL SHC 630 TB 208,2LTS",110,16838,"7577,22"
116956,"MOBIL SHC 632 PAILA 18,93 LTS",112,1631,734
113816,"MOBIL SHC 632 TB 208,2LTS",113,16838,"7577,22"
111653,"MOBIL SHC 634 TB 208,2LTS",114,18250,"8212,35"
113058,"MOBIL SHC 636 TB 208,2LTS",116,18250,"8212,35"
111656,"MOBIL SHC 639 TB 208,2LTS",117,18249,15000
601906,"MOBIL VACUUM PUMP OIL PAILAS 18,9 LTS",83,723,"99,64"
116968,"MOBILARMA 798 PAILA 18,93  LTS",149,545,"132,79"
113621,"MOBILARMA 798 TB 181,5 KG",150,4799,1460
113106,"MOBILGARD 412  TB 208,2 LTS",129,2803,"1385,58"
120573,"MOBILGEAR 600 XP 100 TB 208,2LTS",106,2050,"1008,37"
115342,"MOBILGEAR 627 TB 208,2 LTS",107,2050,"878,4"
"IM33425","MOBILGEAR SHC 460 TAMB 208,2LTS",115,18250,7703
115105,"MOBILGREASE  28  PAILA 15,88  KG",151,2133,1500
113285,"MOBILGREASE MP PAILA  15,9 KG",49,206,"148,94"
113280,"MOBILGREASE MP TB 181,5 KG",50,2078,"1514,98"
112986,"MOBILITH SHC 100 PAILA 16 KG/35,2 LB",157,1534,"505,7"
118520,"MOBILITH SHC 220 PAILA 15,88 KG",158,1534,"530,24"
120302,"MOBILITH SHC PM 460 TB 174,1KG",161,16804,"6371,29"
"8DHT68E55","DTH / AZOLLA ZS 68  TB 208 LTS",69,2016,"1368,02"
"3ATFDIII208","GULF ATF DIII TB 208 LTS",33,"4181,67","3136,25"
"L0000124","GULF ATF DX III CAJA DE LITRO",34,"268,29","201,22"
"6CREST100208","GULF CREST 100 TB 208 LTS",85,2266,"1699,58"
"6CREST32208","GULF CREST 32 TB 208 LTS",78,2060,"1544,71"
"6CREST46208","GULF CREST 46 TB 208 LTS",80,2124,"1593,32"
"6CREST68208","GULF CREST 68 TAB 208 LTS",82,2196,"1647,49"
"3GCANTHD150208","GULF EP LUBRICANT HD 150 TB 208 LTS",91,2536,"1902,31"
"3GCANTHD220208","GULF EP LUBRICANT HD 220 TB 208 LTS",93,2503,"1877,34"
"3GCANTHD320208","GULF EP LUBRICANT HD 320 TB 208 LTS",96,2550,"1913,11"
"3GCANTHD460208","GULF EP LUBRICANT HD 460 TB 208 LTS",99,2608,"1956,63"
"3G85W140GL519","GULF GEAR MP 85W140 GL-5 PAILAS 18,93  LTS",36,333,"250,46"
"3G85W140GL5208","GULF GEAR MP 85W140 GL5 TB 208LTS",37,3106,"2329,89"
"6HARMAW1002008","GULF HARMONY  AW 100 TB 208LTS",75,2538,"1904,14"
"2HARMAW32208","GULF HARMONY AW 32 TB 208",65,2390,"1892,27"
"2HARMAW46208","GULF HARMONY AW 46 TB 208 LTS",67,2390,"1863,68"
"6HARMAW68","GULF HARMONY AW 68 LTS",70,"9,36","7,49"
"6HARMAW68208","GULF HARMONY AW 68 TB 208LTS",71,2102,"1639,54"
"1MAX15W404G","GULF MAX 15W40  SL/CF CAJAS 4*3.785 LTS",13,341,"257,84"
"1MAX15W4012Q","GULF MAX 15W40 SL/CF CAJAS 12*0,946 Lts",14,275,"208,18"
"1MAX15W40208","GULF MAX 15W40 SL/CF TB 208,2 Lts",15,3563,"3078,08"
"1MAX20W504G","GULF MAX 20W50 SL CAJAS 4*3.785 L",17,341,"257,84"
"1MAX20W5012Q","GULF MAX 20W50 SL/CF CAJAS 12*0,946 Lts",18,275,"208,18"
"1MAX20W50208","GULF MAX 20W50 SL/CF TB 208 LTS",19,3563,"3078,08"
"5PRD4T15W4012Q","GULF PRIDE 4T 15W40 CAJA 12*0,946LTS",16,271,"184,77"
"5PRD4T20W5012Q","GULF PRIDE 4T 20W50 CAJA 12*0,946 LTS",20,271,"184,77"
"SEC220208L","GULF SECURITY 220 TB 208 LTS",87,2154,"1586,81"
"2SDUTY50HT","GULF SUPER DUTY HT 50 CF/SF LTS",21,"9,61","9,14"
"2SDUTY50HT19","GULF SUPER DUTY HT 50 CF/SF PALIAS 18,93LTS",22,246,"212,24"
"2SDUTY50HT208","GULF SUPER DUTY HT 50 CF/SF TB 208LTS",23,2477,"2278,84"
"2SDUTY14W4019","GULF SUPER DUTY LE 15W40 CH4 PAILAS 18,93  LTS",29,313,"270,08"
"2SDUTY15W40208","GULF SUPER DUTY LE 15W40 CH4 TB 208LTS",28,2854,"2560,42"
"3GSFLEET15W50CI4208","GULF SUPER FLEET SUPREME 15W40 CI4 TB 208 LTS",30,3168,"2841,88"
"2SLTSP15W4019","GULF SUPERFLEET SUPREME 15W40 CI4 PAILAS 18,93  LTS",31,331,"273,1"
"1TEC15W406Q","GULF TEC 15W40 SL/CF CAJAS 6 LTS",10,"178,41","147,18"
"1TEC20W506Q","GULF TEC 20W50 SL/CF CAJAS 6 LTS",11,"178,41","147,19"
"3TRACFLUID","GULF UNIVERSAL TRACTOR TRANSMISION FLUID LTS",46,"9,87","11,07"
"3UNVTRAC19","GULF UNIVERSAL TRACTOR TRANSMISION PAILAS 18,93  Lts",47,277,"228,63"
"3TRACFLUID208","GULF UNIVERSAL TRACTOR TRANSMISSION FLUID TB 208 LTS",48,2743,"2413,4"
"2XHD25W50CF208","GULF XHD 25W50 CF/SF TB 208 LTS",27,2477,"2675,16"
"L0000157","76 PURE SYNTHETIC 5W40 SM/CF CAJAS 12 LTS",54,655,"458,5"
"PSL145","FILTRO DE ACEITE AUTOMOTRIZ PSL145 CAJAS 12 UNIDADES",60,"148,8","115,08"
"PSL561","FILTROS ACEITE AUTOMOTRIZ PSL 561 CAJAS DE 12 UNID",61,"163,2","97,92"
"PSL619","FILTROS DE ACEITE AUTOMOTRIZ PSL 619 CAJAS 12 UNID",62,"142,8","99,96"
"PSL818","FILTROS DE ACEITE AUTOMOTRIZ PSL 818 CAJAS 12 UNID",63,153,"91,8"
"GU86","FILTROS DE GASOLINA GU86 UNIVERSAL CAJAS 48 UNID",59,"159,84","226,56"
"L0000154","GUARDOL SEMI SINTETICO 15W40 CJ-4/SM 12*1QTS",8,308,"200,2"
"L0000153","GUARDOL SEMI SINTETICO CJ-4/SM 15W40 4*1 GAL",9,410,"266,5"
112741,"PHILLIPS 66 AVIATION OIL 100 AD  CAJA 12*0,95 LTS",135,"429,23",310
115224,"PHILLIPS X/C 5606H  AVIATION HYDRAULIC FLUID CAJAS 24 LTS",136,971,680
"EV12330","CEPLATTYN KG-10 HMF 1000  TB 181,5 KG",131,9584,"6925,4"
"AV60998","FRENOCO DOT 3 CAJAS 24*0,29 LTS",186,"103,13","89,04"
