active,reconcile,code,db_id,id,name,note,check_history,type,user_type,parent_id,currency_mode
True,False,0,1,,"Ingelub, C.A.",,True,view,Vista,,current
True,False,1,2,,ACTIVO,,True,view,Vista,"0 Ingelub, C.A.",current
True,False,1-1,3,,ACTIVO NO CORRIENTE,,True,view,Vista,1 ACTIVO,current
True,False,1-1-1,4,,"PROPIEDAD, PLANTA Y EQUIPOS",,True,view,Inmovilizado,1-1 ACTIVO NO CORRIENTE,current
True,False,1-1-1-01,5,,TERRENOS,,True,view,Inmovilizado,"1-1-1 PROPIEDAD, PLANTA Y EQUIPOS",current
True,False,1-1-1-02,6,,EDIFICACIONES E INSTALACIONES,,True,view,Inmovilizado,"1-1-1 PROPIEDAD, PLANTA Y EQUIPOS",current
True,False,1-1-1-02-01,7,,EDIFICACIONES,,True,view,Inmovilizado,1-1-1-02 EDIFICACIONES E INSTALACIONES,current
True,False,1-1-1-02-02,8,,INSTALACIONES,,True,view,Inmovilizado,1-1-1-02 EDIFICACIONES E INSTALACIONES,current
True,False,1-1-1-03,9,,MEJORAS A LOCALES,,True,view,Inmovilizado,"1-1-1 PROPIEDAD, PLANTA Y EQUIPOS",current
True,False,1-1-1-03-01,10,,MEJORAS A LOCALES',,True,view,Inmovilizado,1-1-1-03 MEJORAS A LOCALES,current
True,False,1-1-1-03-01-001,11,,MEJORAS A LA PROPIEDAD ARRENDADA,,True,other,Inmovilizado,1-1-1-03-01 MEJORAS A LOCALES',current
True,False,1-1-1-04,12,,MAQUINARIAS Y EQUIPOS,,True,view,Inmovilizado,"1-1-1 PROPIEDAD, PLANTA Y EQUIPOS",current
True,False,1-1-1-04-01,13,,MAQUINARIAS,,True,view,Inmovilizado,1-1-1-04 MAQUINARIAS Y EQUIPOS,current
True,False,1-1-1-04-01-001,14,,BANCO DE TRANS.25KWA,,True,other,Inmovilizado,1-1-1-04-01 MAQUINARIAS,current
