"name","res_country:id","code"
"BBVA Banco Provincial","ve.VE","BBVA"
"Banco Mercantil","ve.VE","MERCANTIL"
"Banesco - Banco Universal","ve.VE","BANESCO"
"Banco Occidental de Descuento","ve.VE","BOD"
"Banco de Venezuela","ve.VE","VENEZUELA"
"Banco Venezolano de Crédito","ve.VE","BVC"
"Banco Exterior","ve.VE","EXTERIOR"
"Banco Federal","ve.VE","FEDERAL"
"Banco Industrial de Venezuela","ve.VE","BIV"
"Banco Plaza","ve.VE","PLAZA"
"Banco Central de Venezuela","ve.VE","BCV"
"Banco de Comercio Exterior – Venezuela","ve.VE","BCE"
"Banco Fondo Común","ve.VE","BFC"
