"code","name"
5001,"La Guaira"
5002,"Aérea de Maiquetía"
5003,"Aérea de Valencia"
5004,"Puerto Cabello"
5005,"Las Piedras – Paraguaná"
5006,"Centro Occidental"
5007,"Maracaibo"
5008,"San Antonio del Táchira"
5010,"Guanta - Puerto La Cruz"
5011,"Puerto Sucre"
5012,"Carúpano"
5013,"Guiria"
5014,"Ciudad Guayana"
5015,"El Guamache"
5017,"Maturín"
5018,"Mérida"
5105,"La Vela"
5106,"Aérea y Postal de Barquisimeto"
5107,"Paraguachón"
5108,"Ureña"
5110,"Barcelona"
5114,"Ciudad Bolívar"
5115,"Pampatar"
5118,"La Ceiba"
5208,"Boca de Grita"
5214,"Matanzas"
5215,"Punta de Piedras"
5307,"Puerto Miranda"
5308,"El Amparo de Apure"
5314,"Tucupita"
5315,"Aérea El Yaque"
5402,"Terminal Aéreo de Maiquetía"
5407,"La Salina"
5505,"Tucacas"
5508,"Aérea de San Antonio del Táchira"
5514,"Santa Elena de Uairén"
5607,"El Tablazo"
5608,"Aérea de Santo Domingo"
5705,"Aérea del Aeropuerto Josefa Camejo"
5707,"Aérea de La Chinita"
5805,"Punta Cardón"
5814,"Caicara"
5905,"Puerto Amuay"
