"id","code","name","rate","limit","subtrahend","situation","group_id:id"
"001","001","Sueldos y Salarios",,,,,
"002","002","Honorarios Profesionales No Mercantiles (PNR)",0.03,0,2.5,"PNR","l10n_ve_tax_islr.islr_group_1_HPNM"
"003","003","Honorarios Profesionales No Mercantiles (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPNM"
"004","004","Honorarios Profesionales No Mercantiles (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_HPNM"
"005","005","Honorarios Profesionales No Mercantiles (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPNM"
"005","005","Honorarios Profesionales No Mercantiles (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPNM"
"005","005","Honorarios Profesionales No Mercantiles (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPNM"
"006","006","Honorarios Profesionales Mancomunados No Mercantiles (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_HPMNM"
"007","007","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPMNM"
"008","008","Honorarios Profesionales Mancomunados No Mercantiles (PJD)",0.05,0,0,"PJD","l10n_ve_tax_islr.islr_group_1_HPMNM"
"009","009","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PJND)",0.15,2000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPMNM"
"009","009","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PJND)",0.22,3000,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPMNM"
"009","009","Honorarios    Profesionales    Mancomunados    No    Mercantiles (PJND)",0.34,-1,0,"PJND","l10n_ve_tax_islr.islr_group_1_HPMNM"
"010","010","Honorarios   Profesionales   pagados   a   Jinetes,   Veterinarios, Preparadores o Entrenadores (PNR)",0.03,0,0,"PNR","l10n_ve_tax_islr.islr_group_1_HPpaJ"
"011","011","Honorarios   Profesionales   pagados   a   Jinetes,   Veterinarios, Preparadores o Entrenadores (PNNR)",0.34,0,0,"PNNR","l10n_ve_tax_islr.islr_group_1_HPpaJ"
