"name ","ref"
"Parroquia Huachamacare","res_country_state_municipalities_002"
"Parroquia Marawaka ","res_country_state_municipalities_002"
"Parroquia Mavaca","res_country_state_municipalities_002"
"Parroquia Sierra Parima ","res_country_state_municipalities_002"
"Parroquia Ucata ","res_country_state_municipalities_003"
"Parroquia Yapacana ","res_country_state_municipalities_003"
"Parroquia Caname ","res_country_state_municipalities_003"
"Parroquia Fernando Girón Tovar ","res_country_state_municipalities_004"
"Parroquia Luis Alberto Gómez ","res_country_state_municipalities_004"
"Parroquia Parhueña ","res_country_state_municipalities_004"
"Parroquia Platanillal ","res_country_state_municipalities_004"
"Parroquia Samariapo ","res_country_state_municipalities_005"
"Parroquia Sipapo","res_country_state_municipalities_005"
"Parroquia Munduapo","res_country_state_municipalities_005"
"Parroquia Guayapo ","res_country_state_municipalities_005"
"Parroquia Victorino","res_country_state_municipalities_007"
"Parroquia Comunidad ","res_country_state_municipalities_007"
"Parroquia Alto Ventuari ","res_country_state_municipalities_006"
"Parroquia Medio Ventuari","res_country_state_municipalities_006"
"Parroquia Bajo Ventuari ","res_country_state_municipalities_006"
"Parroquia Solano ","res_country_state_municipalities_008"
"Parroquia Casiquiare ","res_country_state_municipalities_008"
"Parroquia Cocuy","res_country_state_municipalities_008"
"Parroquia Capital Anaco ","res_country_state_municipalities_009"
"Parroquia San Joaquín","res_country_state_municipalities_009"
"Parroquia Capital Aragua ","res_country_state_municipalities_010"
"Parroquia Cachipo","res_country_state_municipalities_010"
"Parroquia Capital Fernando de Peñalver ","res_country_state_municipalities_024"
"Parroquia San Miguel","res_country_state_municipalities_024"
"Parroquia Sucre","res_country_state_municipalities_024"
"Parroquia Capital Francisco del Carmen Carvajal ","res_country_state_municipalities_014"
"Parroquia Santa Bárbara ","res_country_state_municipalities_014"
"Parroquia Capital Francisco de Miranda ","res_country_state_municipalities_022"
"Parroquia Atapirire","res_country_state_municipalities_022"
"Parroquia Boca del Pao","res_country_state_municipalities_022"
"Parroquia El Pao","res_country_state_municipalities_022"
"Parroquia Múcura ","res_country_state_municipalities_022"
"Parroquia Capital Guanta ","res_country_state_municipalities_018"
"Parroquia Chorrerón ","res_country_state_municipalities_018"
"Parroquia Capital Independencia ","res_country_state_municipalities_019"
"Parroquia Mamo","res_country_state_municipalities_019"
"Parroquia Capital Puerto La Cruz ","res_country_state_municipalities_029"
"Parroquia Pozuelos","res_country_state_municipalities_029"
"Parroquia Capital Juan Manuel Cajigal ","res_country_state_municipalities_013"
"Parroquia San Pablo","res_country_state_municipalities_013"
"Parroquia Capital José Gregorio Monagas ","res_country_state_municipalities_023"
"Parroquia Piar","res_country_state_municipalities_023"
"Parroquia San Diego de Cabrutica","res_country_state_municipalities_023"
"Parroquia Santa Clara","res_country_state_municipalities_023"
"Parroquia Uverito","res_country_state_municipalities_023"
"Parroquia Zuata","res_country_state_municipalities_023"
"Parroquia Capital Libertad ","res_country_state_municipalities_030"
"Parroquia El Carito","res_country_state_municipalities_030"
